"Station_Name","Coord_Sys(PROJCS,GEOGCS)","Datum(WGS84,NAD83,NAD27)","Lat/YCoord","Lon/XCoord","Height","Height_Units(meters,feet)","Speed","Speed_Units(mph,kph,mps,kts)","Direction(degrees)","Temperature","Temperature_Units(F,C)","Cloud_Cover(%)","Radius_of_Influence","Radius_of_Influence_Units(miles,feet,meters,km)","date_time"
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,2.57,mps,180,18,C,0,-1,km,2019-10-28T00:35:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,3.09,mps,190,18,C,0,-1,km,2019-10-28T00:40:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,3.09,mps,180,18,C,0,-1,km,2019-10-28T00:45:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,2.06,mps,170,18,C,0,-1,km,2019-10-28T00:50:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,2.06,mps,170,17.8,C,0,-1,km,2019-10-28T00:51:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,1.54,mps,190,18,C,0,-1,km,2019-10-28T00:55:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,0,mps,0,18,C,0,-1,km,2019-10-28T01:00:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,2.06,mps,160,17,C,0,-1,km,2019-10-28T01:05:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,1.54,mps,150,18,C,0,-1,km,2019-10-28T01:10:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,0,mps,0,18,C,0,-1,km,2019-10-28T01:15:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,0,mps,0,18,C,0,-1,km,2019-10-28T01:20:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,1.54,mps,160,18,C,0,-1,km,2019-10-28T01:25:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,1.54,mps,130,18,C,0,-1,km,2019-10-28T01:30:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T01:35:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T01:40:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,2.06,mps,140,17,C,0,-1,km,2019-10-28T01:45:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,1.54,mps,130,17,C,0,-1,km,2019-10-28T01:50:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,1.54,mps,130,17.2,C,0,-1,km,2019-10-28T01:51:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T01:55:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T02:00:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,1.54,mps,150,17,C,0,-1,km,2019-10-28T02:05:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T02:10:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T02:15:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T02:20:00Z
KVNY,GEOGCS,WGS84,34.2125,-118.491,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T02:25:00Z
